key,match,dist
severity,ClinicalDocument.effectiveTime.type,1.1145741266934865
fullUrl,component.section.text.list.item.content.linkHtml.href,1.0134488856649013
occurrenceDateTime,ClinicalDocument.effectiveTime.type,0.8144666161048957
recordedDate,entry.act.performer.assignedEntity.assignedPerson.name.given.@value,1.0107104524133
city,componentOf.encompassingEncounter.location.healthCareFacility.location.addr.city.@value,0.9987800419061782
expression,act.entryRelationship.observation.value.translation.originalText.reference.value,1.0264238983010376
nameUrl,ClinicalDocument.code.displayName,0.8897723558177676
count,component.section.text.list.item.list.item.@value,1.055613213795246
searchInclude,structuredBody.component.section.text.list.item.list.listType,1.0357596158831193
end,section.entry.encounter.entryRelationship.act.effectiveTime.low.value,1.0377839800295616
value,component.section.entry.organizer.component.observation.value.value,0.8093731051106131
valueUrl,ClinicalDocument.title.@value,0.8112986608910154
searchRevInclude,component.section.text.list.item.list.item.@value,1.0737342006621744
birthDate,ClinicalDocument.recordTarget.patientRole.patient.birthTime.type,0.9447446566154902
min,component.section.text.table.tbody.tr.th.align,1.1964080226614384
issued,entry.procedure.author.assignedAuthor.assignedPerson.name.given.@value,1.0935127863109866
supportedProfile,ClinicalDocument.participant.associatedEntity.associatedPerson.name.given.@value,1.003994456099892
mode,ClinicalDocument.recordTarget.patientRole.patient.languageCommunication.modeCode.codeSystem,0.9810439532839553
linkId,ClinicalDocument.id.extension,0.8555795364096465
generation,component.structuredBody.component.section.entry.supply.effectiveTime.type,1.0851676484651345
multipleOr,ClinicalDocument.participant.associatedEntity.associatedPerson.name.given.@value,1.044255243176204
type,ClinicalDocument.title.type,0.7875440211317268
recorded,entry.encounter.performer.assignedEntity.assignedPerson.name.given.@value,1.0419566793884654
status,ClinicalDocument.authorization.consent.statusCode.code,0.9137603773313926
publisher,entry.organizer.author.assignedAuthor.assignedPerson.name.given.@value,1.0389770392687843
rules,component.section.entry.procedure.entryRelationship.procedure.code.codeSystem,1.02227304414784
abstract,ClinicalDocument.title.type,1.0358214571235005
title,ClinicalDocument.title.type,0.824968805447182
requirements,component.section.entry.substanceAdministration.precondition.criterion.code.codeSystem,1.046899448173294
reportedBoolean,ClinicalDocument.informant.assignedEntity.assignedPerson.name.given.@value,1.058943645355884
comparator,organizer.component.observation.referenceRange.observationRange.text.reference.value,1.114738896365358
human,ClinicalDocument.legalAuthenticator.time.type,1.0491517428240016
given,entry.encounter.performer.assignedEntity.assignedPerson.name.given.@value,0.8970095676167068
valueUri,ClinicalDocument.title.@value,0.8601751069629077
data,ClinicalDocument.dataEnterer.assignedEntity.code.code,0.9530347041435066
manufacturer,substanceAdministration.entryRelationship.supply.product.manufacturedProduct.manufacturerOrganization.name.@value,0.9899158784322983
modelNumber,ClinicalDocument.versionNumber.value,0.8137780814850185
dueDate,section.entry.organizer.subject.relatedSubject.subject.birthTime.value,1.019065345961552
format,structuredBody.component.section.text.list.item.content.styleCode,1.0063333568144555
property,ClinicalDocument.participant.associatedEntity.associatedPerson.name.family.@value,1.0255246120632504
line,component.section.component.section.component.section.code.code,0.9578465025392495
map,ClinicalDocument.code.displayName,1.0310347536809854
valueMarkdown,component.section.entry.organizer.component.observation.value.value,0.8101431221397879
valueDecimal,component.section.entry.organizer.component.observation.value.value,0.8540397427202259
id,ClinicalDocument.id.root,0.9800395626776108
abatementDateTime,ClinicalDocument.effectiveTime.type,0.842200511403126
creation,entry.act.entryRelationship.act.entryRelationship.act.entryRelationship.typeCode,1.0401144116834096
name,entry.act.entryRelationship.act.code.qualifier.name.displayName,0.8379757591502845
isSummary,component.section.text.list.item.content.content.@value,1.0206356954540048
suffix,entry.procedure.author.assignedAuthor.assignedPerson.name.suffix.@value,1.0162267452830978
reference,section.entry.observation.reference.externalDocument.text.reference.value,0.7383742206782258
ordered,entry.act.performer.assignedEntity.assignedPerson.name.given.@value,1.1090987577833946
packageId,ClinicalDocument.id.extension,0.8333640241753839
path,component.section.entry.act.entryRelationship.substanceAdministration.routeCode.codeSystem,1.0406251719939168
active,ClinicalDocument.effectiveTime.type,1.0340515755947037
