key,match,dist
concept.code,translation.code,0.747766
snapshot.element.fixedUri,softwareName.@value,1.9990956
address.period.end,effectiveTime.institutionSpecified,1.5275893
entry.resource.name.suffix,name.displayName,1.400013
entry.resource.subject.reference,entry.typeCode,1.5960371
_implementationGuide.extension.url,linkHtml.@value,1.836562
_implementationGuide.extension.valueCode,value.codeSystemName,1.4459144
meta.profile,translation.type,1.3655044
valueCodeableConcept.coding.code,functionCode.codeSystemName,1.9047195
_comparator.extension.valueCode,value.codeSystem,0.9311153
vaccineCode.coding.system,code.codeSystem,1.2427666
snapshot.element.slicing.description,text.type,1.6395404
differential.element.min,translation.type,1.8746096
encounter.display,translation.type,1.1380589
item.item.linkId,item.ID,1.9838779
participant.member.display,family.qualifier,1.4110382
multipleOr,given.qualifier,1.4141862
concept.extension.valueCoding.code,value.codeSystemName,1.3676714
property.code,translation.code,0.8000631
category.coding.system,translation.codeSystem,1.1655598
publisher,family.qualifier,1.1403805
verificationStatus.coding.system,translation.codeSystem,1.3350226
definition.resource.extension.url,linkHtml.@value,1.646358
title,title.@value,0.97292536
entry.resource.payloadMimeType,entryRelationship.typeCode,1.9044541
entry.resource.text.div,originalText.@value,1.9783709
extension.valueCodeableConcept.text,value.codeSystemName,1.9425151
entry.resource.address.line,streetAddressLine.@value,1.3516437
element.slicing.discriminator.type,referenceRange.typeCode,2.6428792
item.answer.valueCoding.system,value.codeSystemName,1.699189
content.url,content.@value,1.4754766
contained.payloadMimeType,performer.typeCode,1.7553915
manufacturer,family.qualifier,1.091468
modelNumber,translation.type,1.1146125
description.text,text.representation,0.50128424
entry.resource.meta.lastUpdated,entryRelationship.inversionInd,2.0543122
snapshot.element.extension.url,linkHtml.@value,1.739766
qualification.code.coding.code,languageCode.code,0.9999767
participant.member.reference,family.qualifier,1.3282052
type.coding.system,component.typeCode,0.99303937
position.longitude,translation.value,1.1948347
context.type,translation.type,0.7072325
mapping.uri,translation.type,1.4619042
dispenseRequest.numberOfRepeatsAllowed,inFulfillmentOf.typeCode,2.271219
medicationReference.reference,reference.value,1.0159277
snapshot.element.binding.strength,sequenceNumber.value,1.6020955
snapshot.element.isModifier,reference.value,1.2966319
address.city,city.@value,0.98813426
contained.status,given.qualifier,1.0898272
concept.property.code,value.codeSystem,0.9580963
class.display,translation.type,1.2200664
location.location.reference,reference.value,1.2913613
compose.exclude.valueSet,repeatNumber.value,1.8852371
component.dataAbsentReason.coding.display,recordTarget.contextControlCode,2.0913796
definition.page.page.nameUrl,approachSiteCode.displayName,2.4609363
entry.resource.medicationReference.reference,entry.typeCode,1.7311876
entry.resource.identifier.value,value.displayName,1.3802828
media.link.reference,text.mediaType,1.3672678
mapping.name,name.@value,0.98531616
snapshot.element.representation,reference.value,1.1565593
period.end,period.value,1.2244011
copyright,translation.value,1.1875874
snapshot.element.path,center.value,1.6469862
authored,family.qualifier,1.2090175
modality.coding.system,translation.codeSystem,1.2533102
context.expression,translation.value,1.0073308
telecom.system,telecom.value,0.9909055
participant.role.coding.system,participantRole.classCode,1.2297152
dispenseRequest.expectedSupplyDuration.code,supply.moodCode,1.9884657
snapshot.element.constraint.source,participant.contextControlCode,1.6025916
valueString,reference.value,0.8629889
entry.resource.target.reference,entry.typeCode,1.6081234
requester.reference,reference.value,1.0360914
resource._searchRevInclude.extension.valueCode,value.codeSystemName,2.5998933
snapshot.element.slicing.ordered,sequenceNumber.value,1.7124871
snapshot.element.patternIdentifier.system,component.typeCode,1.7545623
clinicalStatus.coding.code,statusCode.code,1.1980948
questionnaire,family.qualifier,1.1908835
createdDateTime,effectiveTime.institutionSpecified,1.1551687
_chain.extension.url,linkHtml.@value,1.852199
entry.resource.id,content.ID,1.1866413
resource.agent.onBehalfOf.reference,inFulfillmentOf.typeCode,2.0740042
resource.verificationStatus.coding.system,value.codeSystem,1.5717839
entry.resource.location.reference,entry.typeCode,1.5390396
contained.managingOrganization.reference,reference.value,1.3296602
snapshot.element.short,period.value,1.365306
entry.fullUrl,linkHtml.@value,1.8684598
definition.extension.extension.url,linkHtml.@value,1.8216091
resource.code.coding.code,interpretationCode.codeSystem,1.0447145
entry.resource.authoredOn,entryRelationship.inversionInd,1.679126
valueCodeableConcept.coding.system,approachSiteCode.codeSystem,1.8407607
component.dataAbsentReason.coding.code,priorityCode.codeSystem,2.0230315
component.code.coding.code,interpretationCode.codeSystem,0.99678916
performer.reference,reference.value,1.0241547
